ipc_section,bns_section,section_title,notes
299,100,Culpable homicide (definition),Wording retained
300,101,Murder (definition),"'Secondly, Thirdly, Fourthly' replaced with clauses (a)-(d); substance unchanged"
301,102,Culpable homicide by causing death of person other than person whose death was intended,Wording retained
302,103(1),Punishment for murder,Renumbered and reorganized; BNS 103(2) adds new mob lynching provision
303,104,Punishment for murder by life-convict,Flagged as textual change in official comparison table
304,105,Punishment for culpable homicide not amounting to murder,Flagged as textual change in official comparison table
304A,106(1),Causing death by negligence,"Flagged as change; BNS adds new 106(2) hit-and-run provision not present in IPC"
96,34,Things done in private defence,Wording retained
97,35,Right of private defence of the body and of property,Wording retained
98,36,Right of private defence against act of a person of unsound mind etc.,Wording retained
99,37,Acts against which there is no right of private defence,Wording retained
100,38,When right of private defence of the body extends to causing death,Wording retained
101,39,When such right extends to causing harm other than death,Wording retained
102,40,Commencement and continuance of right of private defence of the body,Wording retained
103,41,When right of private defence of property extends to causing death,BNS expands scope to include mischief by fire or explosive substance
104,42,When such right extends to causing harm other than death (property),Wording retained
105,43,Commencement and continuance of right of private defence of property,"BNS replaces 'house-breaking by night' with 'house-breaking after sunset and before sunrise'"
106,44,Right of private defence against deadly assault when risk of harm to innocent person,Wording retained
